X1,X2,X3,X4,X5,X6,X7,X8
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR3,GA0.1,GAD5
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR4,GA0.1,GAD5
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR5,GA0.1,GAD5
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR2,GA0.1,GAD5
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR3,GA0.1,GAD5
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR4,GA0.1,GAD5
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR5,GA0.1,GAD5
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR2,GA0.1,GAD5
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR3,GA0.1,GAD5
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR4,GA0.1,GAD5
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR5,GA0.1,GAD5
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR2,GA0.1,GAD5
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR3,GA0.1,GAD5
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR4,GA0.1,GAD5
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR5,GA0.1,GAD5
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR2,GA0.1,GAD5
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR3,GA0.1,GAD5
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR4,GA0.1,GAD5
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR5,GA0.1,GAD5
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR2,GA0.1,GAD5
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR3,GA0.1,GAD5
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR4,GA0.1,GAD5
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR5,GA0.1,GAD5
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR2,GA0.1,GAD5
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR3,GA0.1,GAD5
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR4,GA0.1,GAD5
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR5,GA0.1,GAD5
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR2,GA0.1,GAD5
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR3,GA0.1,GAD5
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR4,GA0.1,GAD5
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR5,GA0.1,GAD5
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR2,GA0.25,GAD1
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR3,GA0.25,GAD1
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR4,GA0.25,GAD1
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR5,GA0.25,GAD1
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR2,GA0.25,GAD1
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR3,GA0.25,GAD1
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR4,GA0.25,GAD1
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR5,GA0.25,GAD1
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR2,GA0.25,GAD1
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR3,GA0.25,GAD1
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR4,GA0.25,GAD1
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR5,GA0.25,GAD1
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR2,GA0.25,GAD1
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR3,GA0.25,GAD1
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR4,GA0.25,GAD1
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR5,GA0.25,GAD1
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR2,GA0.25,GAD1
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR3,GA0.25,GAD1
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR4,GA0.25,GAD1
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR5,GA0.25,GAD1
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR2,GA0.25,GAD1
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR3,GA0.25,GAD1
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR4,GA0.25,GAD1
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR5,GA0.25,GAD1
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR2,GA0.25,GAD1
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR3,GA0.25,GAD1
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR4,GA0.25,GAD1
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR5,GA0.25,GAD1
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR2,GA0.25,GAD1
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR3,GA0.25,GAD1
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR4,GA0.25,GAD1
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR5,GA0.25,GAD1
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR2,GA0.25,GAD1
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR3,GA0.25,GAD1
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR4,GA0.25,GAD1
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR5,GA0.25,GAD1
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR2,GA0.25,GAD1
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR3,GA0.25,GAD1
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR4,GA0.25,GAD1
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR5,GA0.25,GAD1
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR2,GA0.25,GAD1
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR3,GA0.25,GAD1
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR4,GA0.25,GAD1
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR5,GA0.25,GAD1
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR2,GA0.25,GAD1
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR3,GA0.25,GAD1
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR4,GA0.25,GAD1
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR5,GA0.25,GAD1
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR2,GA0.25,GAD2
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR3,GA0.25,GAD2
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR4,GA0.25,GAD2
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR5,GA0.25,GAD2
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR2,GA0.25,GAD2
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR3,GA0.25,GAD2
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR4,GA0.25,GAD2
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR5,GA0.25,GAD2
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR2,GA0.25,GAD2
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR3,GA0.25,GAD2
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR4,GA0.25,GAD2
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR5,GA0.25,GAD2
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR2,GA0.25,GAD2
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR3,GA0.25,GAD2
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR4,GA0.25,GAD2
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR5,GA0.25,GAD2
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR2,GA0.25,GAD2
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR3,GA0.25,GAD2
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR4,GA0.25,GAD2
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR5,GA0.25,GAD2
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR2,GA0.25,GAD2
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR3,GA0.25,GAD2
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR4,GA0.25,GAD2
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR5,GA0.25,GAD2
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR2,GA0.25,GAD2
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR3,GA0.25,GAD2
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR4,GA0.25,GAD2
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR5,GA0.25,GAD2
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR2,GA0.25,GAD2
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR3,GA0.25,GAD2
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR4,GA0.25,GAD2
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR5,GA0.25,GAD2
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR2,GA0.25,GAD2
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR3,GA0.25,GAD2
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR4,GA0.25,GAD2
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR5,GA0.25,GAD2
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR2,GA0.25,GAD2
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR3,GA0.25,GAD2
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR4,GA0.25,GAD2
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR5,GA0.25,GAD2
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR2,GA0.25,GAD2
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR3,GA0.25,GAD2
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR4,GA0.25,GAD2
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR5,GA0.25,GAD2
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR2,GA0.25,GAD2
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR3,GA0.25,GAD2
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR4,GA0.25,GAD2
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR5,GA0.25,GAD2
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR2,GA0.25,GAD3
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR3,GA0.25,GAD3
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR4,GA0.25,GAD3
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR5,GA0.25,GAD3
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR2,GA0.25,GAD3
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR3,GA0.25,GAD3
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR4,GA0.25,GAD3
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR5,GA0.25,GAD3
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR2,GA0.25,GAD3
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR3,GA0.25,GAD3
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR4,GA0.25,GAD3
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR5,GA0.25,GAD3
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR2,GA0.25,GAD3
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR3,GA0.25,GAD3
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR4,GA0.25,GAD3
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR5,GA0.25,GAD3
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR2,GA0.25,GAD3
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR3,GA0.25,GAD3
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR4,GA0.25,GAD3
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR5,GA0.25,GAD3
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR2,GA0.25,GAD3
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR3,GA0.25,GAD3
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR4,GA0.25,GAD3
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR5,GA0.25,GAD3
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR2,GA0.25,GAD3
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR3,GA0.25,GAD3
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR4,GA0.25,GAD3
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR5,GA0.25,GAD3
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR2,GA0.25,GAD3
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR3,GA0.25,GAD3
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR4,GA0.25,GAD3
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR5,GA0.25,GAD3
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR2,GA0.25,GAD3
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR3,GA0.25,GAD3
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR4,GA0.25,GAD3
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR5,GA0.25,GAD3
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR2,GA0.25,GAD3
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR3,GA0.25,GAD3
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR4,GA0.25,GAD3
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR5,GA0.25,GAD3
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR2,GA0.25,GAD3
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR3,GA0.25,GAD3
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR4,GA0.25,GAD3
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR5,GA0.25,GAD3
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR2,GA0.25,GAD3
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR3,GA0.25,GAD3
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR4,GA0.25,GAD3
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR5,GA0.25,GAD3
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR2,GA0.25,GAD4
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR3,GA0.25,GAD4
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR4,GA0.25,GAD4
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR5,GA0.25,GAD4
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR2,GA0.25,GAD4
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR3,GA0.25,GAD4
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR4,GA0.25,GAD4
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR5,GA0.25,GAD4
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR2,GA0.25,GAD4
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR3,GA0.25,GAD4
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR4,GA0.25,GAD4
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR5,GA0.25,GAD4
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR2,GA0.25,GAD4
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR3,GA0.25,GAD4
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR4,GA0.25,GAD4
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR5,GA0.25,GAD4
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR2,GA0.25,GAD4
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR3,GA0.25,GAD4
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR4,GA0.25,GAD4
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR5,GA0.25,GAD4
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR2,GA0.25,GAD4
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR3,GA0.25,GAD4
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR4,GA0.25,GAD4
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR5,GA0.25,GAD4
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR2,GA0.25,GAD4
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR3,GA0.25,GAD4
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR4,GA0.25,GAD4
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR5,GA0.25,GAD4
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR2,GA0.25,GAD4
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR3,GA0.25,GAD4
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR4,GA0.25,GAD4
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR5,GA0.25,GAD4
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR2,GA0.25,GAD4
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR3,GA0.25,GAD4
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR4,GA0.25,GAD4
RC0.69,SA735.0,WA294.0,RA220.5,OH3.5,OR5,GA0.25,GAD4
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR2,GA0.25,GAD4
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR3,GA0.25,GAD4
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR4,GA0.25,GAD4
RC0.66,SA759.5,WA318.5,RA220.5,OH3.5,OR5,GA0.25,GAD4
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR2,GA0.25,GAD4
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR3,GA0.25,GAD4
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR4,GA0.25,GAD4
RC0.64,SA784.0,WA343.0,RA220.5,OH3.5,OR5,GA0.25,GAD4
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR2,GA0.25,GAD4
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR3,GA0.25,GAD4
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR4,GA0.25,GAD4
RC0.62,SA808.5,WA367.5,RA220.5,OH3.5,OR5,GA0.25,GAD4
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR2,GA0.25,GAD5
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR3,GA0.25,GAD5
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR4,GA0.25,GAD5
RC0.98,SA514.5,WA294.0,RA110.25,OH7.0,OR5,GA0.25,GAD5
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR2,GA0.25,GAD5
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR3,GA0.25,GAD5
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR4,GA0.25,GAD5
RC0.9,SA563.5,WA318.5,RA122.5,OH7.0,OR5,GA0.25,GAD5
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR2,GA0.25,GAD5
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR3,GA0.25,GAD5
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR4,GA0.25,GAD5
RC0.86,SA588.0,WA294.0,RA147.0,OH7.0,OR5,GA0.25,GAD5
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR2,GA0.25,GAD5
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR3,GA0.25,GAD5
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR4,GA0.25,GAD5
RC0.82,SA612.5,WA318.5,RA147.0,OH7.0,OR5,GA0.25,GAD5
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR2,GA0.25,GAD5
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR3,GA0.25,GAD5
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR4,GA0.25,GAD5
RC0.79,SA637.0,WA343.0,RA147.0,OH7.0,OR5,GA0.25,GAD5
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR2,GA0.25,GAD5
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR3,GA0.25,GAD5
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR4,GA0.25,GAD5
RC0.76,SA661.5,WA416.5,RA122.5,OH7.0,OR5,GA0.25,GAD5
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR2,GA0.25,GAD5
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR3,GA0.25,GAD5
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR4,GA0.25,GAD5
RC0.74,SA686.0,WA245.0,RA220.5,OH3.5,OR5,GA0.25,GAD5
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR2,GA0.25,GAD5
RC0.71,SA710.5,WA269.5,RA220.5,OH3.5,OR3,GA0.25,GAD5
